date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:24:26	3549/3549	---M--	200	added ('OK')	image/png	etag:%22ddd-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/images/brand/5.png	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/brand/5.png	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:27	88151/88151	---M-Z	200	added ('OK')	application/javascript	etag:%2215857-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/js/jquery.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/js/jquery.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:28	24594/24594	---M-Z	200	added ('OK')	application/javascript	etag:%226012-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/ripple/jquery.ripples.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/ripple/jquery.ripples.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:28	78635/78635	---M-Z	200	added ('OK')	application/javascript	etag:%221332b-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/js/bootstrap.bundle.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/js/bootstrap.bundle.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:28	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%22159c-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/animated/headline.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/animated/headline.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:28	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%2242b-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/counter/jquery.counterup.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/counter/jquery.counterup.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:28	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%222281-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/counter/waypoints.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/counter/waypoints.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:29	35445/35445	---M-Z	200	added ('OK')	application/javascript	etag:%228a75-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/filter/isotope.pkgd.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/filter/isotope.pkgd.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:29	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/filter/jquery.magnific-popup.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/filter/jquery.magnific-popup.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:29	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:%225e27-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/filter/masonry.pkgd.min.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/filter/masonry.pkgd.min.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:30	2109/2109	---M-Z	200	added ('OK')	application/javascript	etag:%2283d-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/js/app.js	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/js/app.js	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:31	147808/147808	---M--	200	added ('OK')	font/woff2	etag:%2224160-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/fonts/unicons.woff2	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/fonts/unicons.woff2	(from https://mannatthemes.com/zoovara/vertical/css/icons.css)
02:24:31	203748/203748	---M--	200	added ('OK')	font/woff	etag:%2231be4-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/fonts/unicons.woff	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/fonts/unicons.woff	(from https://mannatthemes.com/zoovara/vertical/css/icons.css)
02:24:34	403580/403580	---M--	200	added ('OK')	font/ttf	etag:%226287c-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/fonts/unicons.ttf	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/fonts/unicons.ttf	(from https://mannatthemes.com/zoovara/vertical/css/icons.css)
02:24:34	544923/544923	---M--	200	added ('OK')	image/svg+xml	etag:%228509b-5c02446b62fe7%22	https://mannatthemes.com/zoovara/vertical/fonts/unicons.svg	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/fonts/unicons.svg	(from https://mannatthemes.com/zoovara/vertical/css/icons.css)
02:24:44	403744/403744	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2262920-5c02446b62047%22	https://mannatthemes.com/zoovara/vertical/fonts/unicons.eot	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/fonts/unicons.eot	(from https://mannatthemes.com/zoovara/vertical/css/icons.css)
